Color Number, Percentage of Distribution
6,0.10889111
2,0.10789211
1,0.10689311
3,0.10689311
4,0.10689311
5,0.103896104
7,0.0969031
8,0.09290709
9,0.075924076
10,0.05294705
11,0.026973028
12,0.008991009
13,0.002997003
14,9.99001E-4
