Color Number, Percentage of Distribution
4,0.061938062
3,0.060939062
6,0.05994006
10,0.05894106
1,0.05794206
2,0.05794206
12,0.056943055
8,0.055944055
11,0.055944055
5,0.053946055
7,0.053946055
9,0.053946055
13,0.05294705
14,0.04795205
15,0.04695305
16,0.04095904
17,0.035964034
18,0.030969031
19,0.01998002
20,0.012987013
21,0.011988012
22,0.007992008
23,0.002997003
