Color Number, Percentage of Distribution
3,0.064935066
1,0.06393606
2,0.062937066
7,0.062937066
6,0.061938062
5,0.060939062
4,0.05994006
9,0.05894106
10,0.056943055
8,0.055944055
11,0.055944055
12,0.054945055
13,0.050949052
14,0.044955045
15,0.037962038
16,0.037962038
17,0.030969031
18,0.026973028
19,0.01998002
20,0.015984016
21,0.007992008
22,0.003996004
23,0.001998002
