Color Number, Percentage of Distribution
2,0.114885114
5,0.10989011
3,0.10889111
4,0.10789211
1,0.10489511
6,0.1008991
7,0.08891109
8,0.07992008
9,0.068931065
10,0.05294705
11,0.030969031
12,0.01998002
13,0.007992008
14,0.002997003
