Color Number, Percentage of Distribution
4,0.110889114
1,0.10989011
2,0.10989011
3,0.1058941
5,0.1058941
6,0.10489511
7,0.0979021
8,0.08491509
9,0.06593407
10,0.045954045
11,0.02997003
12,0.015984016
13,0.006993007
14,0.002997003
15,0.001998002
