Color Number, Percentage of Distribution
2,0.09090909
1,0.08691309
4,0.08691309
6,0.08691309
3,0.08591408
5,0.08591408
7,0.08491509
8,0.077922076
9,0.07192807
10,0.07192807
11,0.060939062
12,0.04895105
13,0.02997003
14,0.015984016
15,0.008991009
16,0.004995005
