Color Number, Percentage of Distribution
5,0.05894106
6,0.05894106
1,0.05794206
7,0.05794206
4,0.056943055
8,0.056943055
9,0.056943055
10,0.055944055
13,0.055944055
2,0.054945055
3,0.053946055
12,0.053946055
11,0.051948052
15,0.04995005
14,0.04895105
16,0.045954045
17,0.037962038
18,0.027972028
19,0.022977022
20,0.014985015
21,0.010989011
22,0.005994006
23,0.002997003
