Color Number, Percentage of Distribution
1,0.06793207
4,0.06793207
2,0.06593407
3,0.062937066
6,0.062937066
8,0.062937066
7,0.061938062
9,0.061938062
5,0.060939062
11,0.060939062
10,0.05994006
12,0.053946055
13,0.04995005
14,0.04695305
15,0.04195804
16,0.032967035
17,0.026973028
18,0.023976024
19,0.015984016
20,0.004995005
21,0.003996004
22,0.001998002
