Color Number, Percentage of Distribution
1,0.14885116
2,0.14885116
3,0.14585415
4,0.14085914
5,0.12787212
6,0.10989011
7,0.07992008
8,0.056943055
9,0.025974026
10,0.011988012
11,0.002997003
