Color Number, Percentage of Distribution
4,0.06393606
1,0.062937066
11,0.062937066
2,0.061938062
3,0.061938062
9,0.061938062
5,0.060939062
7,0.060939062
8,0.060939062
6,0.05994006
10,0.05894106
13,0.05794206
12,0.056943055
14,0.051948052
15,0.045954045
16,0.03996004
17,0.030969031
18,0.01998002
19,0.010989011
20,0.005994006
21,0.001998002
