Color Number, Percentage of Distribution
3,0.10969891
2,0.10909891
1,0.10892891
4,0.10877891
5,0.10662893
6,0.10296897
7,0.09794902
8,0.08803912
9,0.07092929
10,0.048809513
11,0.028309718
12,0.012639874
13,0.004809952
14,0.0017299827
15,5.099949E-4
16,1.199988E-4
17,4.99995E-5
