Color Number, Percentage of Distribution
1,0.15984017
3,0.15084915
2,0.14885116
4,0.14885116
5,0.13386613
6,0.1008991
7,0.06993007
8,0.04695305
9,0.02097902
10,0.011988012
11,0.005994006
12,9.99001E-4
