Color Number, Percentage of Distribution
1,0.15884116
2,0.15584415
3,0.14785215
4,0.14385614
5,0.13386613
6,0.10789211
7,0.077922076
8,0.044955045
9,0.017982017
10,0.007992008
11,0.001998002
12,9.99001E-4
