Color Number, Percentage of Distribution
2,0.1058941
1,0.103896104
4,0.101898104
5,0.1008991
3,0.0989011
6,0.0979021
7,0.09490509
8,0.09090909
9,0.07492507
10,0.05794206
11,0.038961038
12,0.017982017
13,0.008991009
14,0.002997003
15,0.001998002
16,9.99001E-4
